Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Algeria,28.033886,1.659626,0,0,0,0,0,0,0,0,93,93,49,65,22,37,0,0,0,0,21,19,98,97,24.28,109.9,51.4,11.7
Angola,11.202692,17.873887,31,39,0,0,0,0,0,0,63,57,42,32,24,15,0,0,0,0,0,0,0,0,40.73,113.5,9.3,6.89
Benin,9.30769,2.315834,15,16,3,10,27,43,46,66,51,44,25,13,12,5,9,34,23,11,0,0,70,52,36.22,122.0,12.3,2.23
Botswana,22.328474,24.684866,79,78,12,10,0,0,0,0,95,98,92,92,55,66,0,0,0,16,0,0,0,0,24.82,103.2,24.9,18.19
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,32,29,13,6,6,2,36,59,21,22,0,0,62,55,37.93,96.1,6.5,6.26
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,46,54,26,19,4,3,79,97,7,40,0,0,0,0,39.01,121.4,6.1,1.43
Cape Verde,16.5388,23.0418,19,19,6,7,14,13,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,104.0,23.6,12.25
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,75,74,52,43,26,21,30,57,24,12,0,0,88,82,35.39,103.4,12.8,3.38
Central African Republic,6.611111,20.939444,0,0,0,0,0,0,0,0,54,33,16,8,8,6,0,0,0,0,0,0,48,29,35.35,102.0,3.0,3.68
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,31,24,18,10,15,6,18,48,3,3,0,0,0,0,42.17,86.8,3.3,1.89
Comoros,11.6455,43.3333,71,70,18,18,20,18,52,48,75,77,47,45,24,32,0,0,0,0,0,0,78,78,31.88,99.5,9.0,4.34
Republic of the Congo,0.228021,15.827659,71,70,15,16,0,0,0,0,78,82,56,45,28,19,38,72,17,6,0,0,85,79,32.86,106.6,12.7,9.47
Ivory Coast,7.539989,5.54708,78,78,2,8,41,48,52,64,60,53,36,22,17,15,17,33,22,3,0,0,64,53,35.74,99.8,9.3,3.32
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,0,0,0,0,67,66,58,52,36,27,0,0,0,0,0,0,0,0,41.18,108.0,6.6,4.24
Djibouti,11.825138,42.590275,85,88,32,35,48,48,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3
